X,Y,Time
47.21873,39.70276,09:35:16
47.21867,39.70279,09:35:33
47.21861,39.70282,09:35:50
47.21857,39.70284,09:36:07
47.21852,39.70286,09:36:24
47.21849,39.70287,09:36:44
47.21846,39.70289,09:37:03
47.21842,39.70291,09:37:23
47.21838,39.70293,09:37:43
47.21835,39.70294,09:38:01
47.21832,39.70295,09:38:18
47.21829,39.70296,09:38:35
47.21826,39.70298,09:38:53
47.21823,39.70299,09:39:11
47.2182,39.703,09:39:29
47.21816,39.70302,09:39:46
47.21812,39.70304,09:40:03
47.21808,39.70306,09:40:21
47.21804,39.70307,09:40:39
47.218,39.70309,09:40:56
47.21795,39.70311,09:41:15
47.21792,39.70312,09:41:32
47.21789,39.70314,09:41:49
47.21784,39.70316,09:42:06
47.2178,39.70318,09:42:26
47.2177,39.70323,09:42:46
47.21759,39.70328,09:43:03
47.21752,39.70331,09:43:23
47.21745,39.70333,09:43:42
47.2172,39.70345,09:43:59
47.21695,39.70357,09:44:16
47.21694,39.70357,09:44:33
47.21693,39.70358,09:44:52
47.21699,39.70386,09:45:12
47.21705,39.70414,09:45:32
47.21707,39.70428,09:45:49
47.2171,39.70441,09:46:06
47.21716,39.70472,09:46:25
47.21722,39.70502,09:46:45
47.21728,39.7053,09:47:04
47.21733,39.70557,09:47:24
47.21737,39.70571,09:47:42
47.2174,39.70586,09:48:00
47.21743,39.706,09:48:19
47.21746,39.70613,09:48:37
47.21749,39.70632,09:48:57
47.21753,39.7065,09:49:14
47.21758,39.70673,09:49:34
47.21762,39.70695,09:49:52
47.21766,39.70715,09:50:09
47.21771,39.70735,09:50:29
47.21774,39.70752,09:50:47
47.21776,39.70769,09:51:07
47.2178,39.70783,09:51:25
47.21783,39.70797,09:51:44
47.21786,39.70814,09:52:04
47.2179,39.70831,09:52:24
47.21792,39.70841,09:52:43
47.21794,39.70851,09:53:03
47.21789,39.70853,09:53:22
47.21784,39.70856,09:53:40
47.21779,39.70858,09:53:57
47.21775,39.7086,09:54:15
47.21772,39.70861,09:54:35
47.21769,39.70862,09:54:51
47.21761,39.70865,09:55:11
47.21752,39.70869,09:55:31
47.21748,39.7087,09:55:50
47.21744,39.70872,09:56:10
47.21745,39.7088,09:56:27
47.21747,39.70889,09:56:47
47.21749,39.70901,09:57:03
47.21751,39.70912,09:57:20
47.21755,39.7093,09:57:36
47.21759,39.70948,09:57:55
47.21763,39.7097,09:58:15
47.21768,39.70992,09:58:31
47.21772,39.71011,09:58:51
47.21776,39.71031,09:59:10
47.21779,39.71046,09:59:28
47.21781,39.7106,09:59:47
47.21785,39.71079,10:00:06
47.21789,39.71097,10:00:23
47.21792,39.71107,10:00:42
47.21794,39.71117,10:00:59
47.21796,39.71129,10:01:16
47.21799,39.71142,10:01:34
47.218,39.71147,10:01:52
47.21802,39.71153,10:02:11
47.21802,39.71154,10:02:31
47.21802,39.71155,10:02:51
47.21805,39.71168,10:03:11
47.21808,39.71182,10:03:31
47.2181,39.71193,10:03:50
47.21812,39.71205,10:04:10
47.21814,39.71212,10:04:30
47.21815,39.7122,10:04:49
47.21818,39.71233,10:05:06
47.21821,39.71246,10:05:26
47.21825,39.71265,10:05:44
47.21829,39.71285,10:06:02
47.21833,39.71304,10:06:19
47.21836,39.71324,10:06:38
47.21848,39.71378,10:06:54
47.2186,39.71432,10:07:10
47.21865,39.71457,10:07:26
47.2187,39.71482,10:07:45
47.21878,39.71522,10:08:05
47.21886,39.71561,10:08:22
47.21891,39.71586,10:08:39
47.21897,39.71612,10:08:55
47.21906,39.71654,10:09:14
47.21915,39.71695,10:09:30
47.21923,39.71735,10:09:46
47.21931,39.71774,10:10:06
47.21938,39.71809,10:10:22
